GeneID:388611	CD164 molecule like 2
GeneID:5208	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
GeneID:93273	LEM domain containing 1
GeneID:1379	complement C3b/C4b receptor 1 like
GeneID:8548	basic leucine zipper nuclear factor 1
GeneID:9829	DnaJ heat shock protein family (Hsp40) member C6
GeneID:127845	golgi transport 1A
GeneID:339559	ZFP69 zinc finger protein
GeneID:148327	cAMP responsive element binding protein 3 like 4
GeneID:55143	cell division cycle associated 8
GeneID:55144	leucine rich repeat containing 8 VRAC subunit D
GeneID:400745	SH2 domain containing 5
GeneID:353131	late cornified envelope 1A
GeneID:353132	late cornified envelope 1B
GeneID:57710	KIAA1614
GeneID:353135	late cornified envelope 1E
GeneID:127343	diencephalon/mesencephalon homeobox 1
GeneID:54896	solute carrier family 66 member 1
GeneID:728945	peptidylprolyl isomerase A like 4F
GeneID:79729	SH3 domain containing 21
GeneID:645745	metallothionein 1H like 1
GeneID:51058	zinc finger protein 691
GeneID:100131187	thiosulfate sulfurtransferase like domain containing 1
GeneID:56181	mitochondrial fission regulator 1 like
GeneID:149111	cornichon family AMPA receptor auxiliary protein 3
GeneID:440695	ETS variant transcription factor 3 like
GeneID:388730	transmembrane protein 81
GeneID:6274	S100 calcium binding protein A3
GeneID:343170	olfactory receptor family 14 subfamily K member 1
GeneID:284546	chromosome 1 open reading frame 185
GeneID:343171	olfactory receptor family 2 subfamily W member 3
GeneID:80772	ceramide-1-phosphate transfer protein
GeneID:388743	calpain 8
GeneID:6282	S100 calcium binding protein A11
GeneID:113802	HEN methyltransferase 1
GeneID:6283	S100 calcium binding protein A12
GeneID:114836	SLAM family member 6
GeneID:643988	fibronectin type III domain containing 10
GeneID:730262	peptidylprolyl isomerase A like 4E
GeneID:10903	myotubularin related protein 11
GeneID:54935	dual specificity phosphatase 23
GeneID:92312	mex-3 RNA binding family member A
GeneID:653464	SLIT-ROBO Rho GTPase activating protein 2C
GeneID:400793	chromosome 1 open reading frame 226
GeneID:115353	leucine rich repeat containing 42
GeneID:163486	DENN domain containing 1B
GeneID:2207	Fc fragment of IgE receptor Ig
GeneID:5279	phosphatidylinositol glycan anchor biosynthesis class C
GeneID:3744	potassium voltage-gated channel subfamily A member 10
GeneID:90529	sperm tail PG-rich repeat containing 1
GeneID:2215	Fc fragment of IgG receptor IIIb
GeneID:252839	transmembrane protein 9
GeneID:84648	late cornified envelope 3D
GeneID:1196	CDC like kinase 2
GeneID:126637	trichohyalin like 1
GeneID:343472	BarH like homeobox 2
GeneID:84144	synapse defective Rho GTPase homolog 2
GeneID:80818	zinc finger protein 436
GeneID:947	CD34 molecule
GeneID:63923	tenascin N
GeneID:55732	chromosome 1 open reading frame 112
GeneID:729528	PRAME family member 14
GeneID:163259	DENN domain containing 2C
GeneID:114625	erythroblast membrane associated protein (Scianna blood group)
GeneID:284612	synaptophysin like 2
GeneID:57540	dispatched RND transporter family member 3
GeneID:126917	intermediate filament family orphan 2
GeneID:260293	cytochrome P450 family 4 subfamily X member 1
GeneID:654790	Purkinje cell protein 4 like 1
GeneID:81609	sorting nexin 27
GeneID:8394	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha
GeneID:57549	immunoglobulin superfamily member 9
GeneID:10446	leucine rich repeat neuronal 2
GeneID:574414	proline rich 9
GeneID:653519	G protein-coupled receptor 89A
GeneID:23252	OTU deubiquitinase 3
GeneID:127703	chromosome 1 open reading frame 216
GeneID:473	arginine-glutamic acid dipeptide repeats
GeneID:5081	paired box 7
GeneID:55001	tetratricopeptide repeat domain 22
GeneID:9181	Rho/Rac guanine nucleotide exchange factor 2
GeneID:254173	tubulin tyrosine ligase like 10
GeneID:84958	synaptotagmin like 1
GeneID:2786	G protein subunit gamma 4
GeneID:7139	troponin T2, cardiac type
GeneID:729059	testis expressed 46
GeneID:646627	LY6/PLAUR domain containing 8
GeneID:55268	enoyl-CoA hydratase domain containing 2
GeneID:23528	zinc finger protein 281
GeneID:84970	chromosome 1 open reading frame 94
GeneID:284654	R-spondin 1
GeneID:284656	EPH receptor A10
GeneID:83953	Fc fragment of IgA and IgM receptor
GeneID:440561	PRAME family member 6
GeneID:64754	SET and MYND domain containing 3
GeneID:79605	piggyBac transposable element derived 5
GeneID:51702	peptidyl arginine deiminase 3
GeneID:10745	putative homeodomain transcription factor 1
GeneID:90874	zinc finger protein 697
GeneID:5629	prospero homeobox 1
GeneID:339453	transmembrane protein 240
GeneID:23038	WD and tetratricopeptide repeats 1
GeneID:4352	MPL proto-oncogene, thrombopoietin receptor
GeneID:4608	myosin binding protein H
GeneID:257	ALX homeobox 3
GeneID:728833	family with sequence similarity 72 member D
GeneID:9473	thymocyte selection associated family member 2
GeneID:10753	calpain 9
GeneID:11009	interleukin 24
GeneID:56833	SLAM family member 8
GeneID:3586	interleukin 10
GeneID:4610	MYCL proto-oncogene, bHLH transcription factor
GeneID:11266	dual specificity phosphatase 12
GeneID:388610	TMF1 regulated nuclear protein 1
GeneID:8707	beta-1,3-galactosyltransferase 2
GeneID:83715	espin
GeneID:60676	pappalysin 2
GeneID:163589	tudor domain containing 5
GeneID:1031	cyclin dependent kinase inhibitor 2C
GeneID:7175	translocated promoter region, nuclear basket protein
GeneID:26119	low density lipoprotein receptor adaptor protein 1
GeneID:57863	cell adhesion molecule 3
GeneID:6920	transcription elongation factor A3
GeneID:777	calcium voltage-gated channel subunit alpha1 E
GeneID:440585	family with sequence similarity 183 member A
GeneID:2058	glutamyl-prolyl-tRNA synthetase 1
GeneID:779	calcium voltage-gated channel subunit alpha1 S
GeneID:2060	epidermal growth factor receptor pathway substrate 15
GeneID:22796	component of oligomeric golgi complex 2
GeneID:54797	mediator complex subunit 18
GeneID:387597	immunoglobulin like domain containing receptor 2
GeneID:23566	lysophosphatidic acid receptor 3
GeneID:440590	zyg-11 family member A, cell cycle regulator
GeneID:4879	natriuretic peptide B
GeneID:127247	ankyrin repeat and SOCS box containing 17
GeneID:10256	connector enhancer of kinase suppressor of Ras 1
GeneID:89872	aquaporin 10
GeneID:54544	cysteine rich C-terminal 1
GeneID:199953	transmembrane protein 201
GeneID:23569	peptidyl arginine deiminase 4
GeneID:1810	down-regulator of transcription 1
GeneID:5394	exosome component 10
GeneID:1043	CD52 molecule
GeneID:84243	zinc finger DHHC-type containing 18
GeneID:7188	TNF receptor associated factor 5
GeneID:6421	splicing factor proline and glutamine rich
GeneID:80149	zinc finger CCCH-type containing 12A
GeneID:375061	family with sequence similarity 89 member A
GeneID:127253	tRNA-yW synthesizing protein 3 homolog
GeneID:79894	zinc finger protein 672
GeneID:23318	terminal uridylyl transferase 4
GeneID:339479	BMP/retinoic acid inducible neural specific 3
GeneID:24	ATP binding cassette subfamily A member 4
GeneID:2328	flavin containing dimethylaniline monoxygenase 3
GeneID:401944	low density lipoprotein receptor class A domain containing 2
GeneID:2329	flavin containing dimethylaniline monoxygenase 4
GeneID:23065	ER membrane protein complex subunit 1
GeneID:149018	late cornified envelope like proline rich 1
GeneID:440603	BCL2 like 15
GeneID:199964	transmembrane protein 61
GeneID:541468	leucine rich adaptor protein 1
GeneID:79647	akirin 1
GeneID:164127	coiled-coil domain containing 185
GeneID:5664	presenilin 2
GeneID:140576	S100 calcium binding protein A16
GeneID:64801	ARV1 homolog, fatty acid homeostasis modulator
GeneID:3362	5-hydroxytryptamine receptor 6
GeneID:79906	MORN repeat containing 1
GeneID:494115	RBMX like 1
GeneID:10277	ubiquitination factor E4B
GeneID:199974	cytochrome P450 family 4 subfamily Z member 1
GeneID:388646	guanylate binding protein 7
GeneID:5928	RB binding protein 4, chromatin remodeling factor
GeneID:84265	RNA polymerase III subunit G like
GeneID:10026	phosphatidylinositol glycan anchor biosynthesis class K
GeneID:22826	DnaJ heat shock protein family (Hsp40) member C8
GeneID:163882	consortin, connexin sorting protein
GeneID:6699	small proline rich protein 1B
GeneID:6700	small proline rich protein 2A
GeneID:83756	taste 1 receptor member 3
GeneID:23596	opsin 3
GeneID:10286	BCAS2 pre-mRNA processing factor
GeneID:127534	gap junction protein beta 4
GeneID:730159	testis expressed 50
GeneID:126767	arylacetamide deacetylase like 3
GeneID:55600	intelectin 1
GeneID:57648	KIAA1522
GeneID:3633	inositol polyphosphate-5-phosphatase B
GeneID:6705	small proline rich protein 2F
GeneID:11313	lysophospholipase 2
GeneID:4146	matrilin 1
GeneID:204851	homeodomain interacting protein kinase 1
GeneID:84275	solute carrier family 25 member 33
GeneID:284723	solute carrier family 25 member 34
GeneID:127795	chromosome 1 open reading frame 87
GeneID:653619	PRAME family member 15
GeneID:128308	mitochondrial ribosomal protein L55
GeneID:148534	TLC domain containing 4
GeneID:9783	regulating synaptic membrane exocytosis 3
GeneID:79927	family with sequence similarity 110 member D
GeneID:23352	ubiquitin protein ligase E3 component n-recognin 4
GeneID:57657	hyperpolarization activated cyclic nucleotide gated potassium channel 3
GeneID:7482	Wnt family member 2B
GeneID:57402	S100 calcium binding protein A14
GeneID:84283	transmembrane protein 79
GeneID:5692	proteasome 20S subunit beta 4
GeneID:84284	nucleoside-triphosphatase, cancer-related
GeneID:55356	solute carrier family 22 member 15
GeneID:63036	chymotrypsin like elastase 2A
GeneID:829	capping actin protein of muscle Z-line subunit alpha 1
GeneID:3645	insulin receptor related receptor
GeneID:23358	ubiquitin specific peptidase 24
GeneID:55870	ASH1 like histone lysine methyltransferase
GeneID:10560	solute carrier family 19 member 2
GeneID:140609	NIMA related kinase 7
GeneID:653121	zinc finger and BTB domain containing 8A
GeneID:11330	chymotrypsin C
GeneID:6723	spermidine synthase
GeneID:3652	intracisternal A particle-promoted polypeptide
GeneID:60484	hyaluronan and proteoglycan link protein 2
GeneID:2117	ETS variant transcription factor 3
GeneID:284485	regulatory subunit of type II PKA R-subunit domain containing 1
GeneID:29765	tropomodulin 4
GeneID:126789	pseudouridine synthase like 1
GeneID:348487	family with sequence similarity 131 member C
GeneID:2633	guanylate binding protein 1
GeneID:3914	laminin subunit beta 3
GeneID:112970	KTI12 chromatin associated homolog
GeneID:2635	guanylate binding protein 3
GeneID:5195	peroxisomal biogenesis factor 14
GeneID:79947	dehydrodolichyl diphosphate synthase subunit
GeneID:92235	dual specificity phosphatase 27, atypical
GeneID:9804	translocase of outer mitochondrial membrane 20
GeneID:25932	chloride intracellular channel 4
GeneID:128077	limb and CNS expressed 1 like
GeneID:3918	laminin subunit gamma 2
GeneID:8784	TNF receptor superfamily member 18
GeneID:23632	carbonic anhydrase 14
GeneID:3155	3-hydroxy-3-methylglutaryl-CoA lyase
GeneID:79699	zyg-11 family member B, cell cycle regulator
GeneID:55635	DEP domain containing 1
GeneID:83540	NUF2 component of NDC80 kinetochore complex
GeneID:149076	zinc finger protein 362
GeneID:378708	centromere protein S
GeneID:57172	calcium/calmodulin dependent protein kinase IG
GeneID:9813	EF-hand calcium binding domain 14
GeneID:81493	syncoilin, intermediate filament protein
GeneID:23381	SMG5 nonsense mediated mRNA decay factor
GeneID:2134	exostosin like glycosyltransferase 1
GeneID:2135	exostosin like glycosyltransferase 2
GeneID:4184	sperm mitochondria associated cysteine rich protein
GeneID:9048	artemin
GeneID:431704	regulator of G protein signaling 21
GeneID:51032	chymotrypsin like elastase 2B
GeneID:7257	translin associated factor X
GeneID:23385	nicastrin
GeneID:388698	filaggrin family member 2
GeneID:142683	intelectin 2
GeneID:127579	DC-STAMP domain containing 2
GeneID:391004	PRAME family member 17
GeneID:1117	chitinase 3 like 2
GeneID:163933	family with sequence similarity 43 member B
GeneID:388701	chromosome 1 open reading frame 189
GeneID:1118	chitinase 1
GeneID:30814	phospholipase A2 group IIE
GeneID:8799	peroxisomal biogenesis factor 11 beta
GeneID:1376	carnitine palmitoyltransferase 2
GeneID:54112	G protein-coupled receptor 88
GeneID:1889	endothelin converting enzyme 1
GeneID:200035	nudix hydrolase 17
GeneID:7779	solute carrier family 30 member 1
GeneID:22883	calsyntenin 1
GeneID:23139	microtubule associated serine/threonine kinase 2
GeneID:356	Fas ligand
GeneID:7780	solute carrier family 30 member 2
GeneID:8804	cellular repressor of E1A stimulated genes 1
GeneID:84069	pleckstrin homology domain containing N1
GeneID:57190	selenoprotein N
GeneID:84842	4-hydroxyphenylpyruvate dioxygenase like
GeneID:9580	SRY-box transcription factor 13
GeneID:26476	olfactory receptor family 10 subfamily J member 1
GeneID:55917	CTTNBP2 N-terminal like
GeneID:353134	late cornified envelope 1D
GeneID:54897	castor zinc finger 1
GeneID:403314	apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4
GeneID:23154	neurochondrin
GeneID:388722	chromosome 1 open reading frame 53
GeneID:114803	Myb like, SWIRM and MPN domains 1
GeneID:5236	phosphoglucomutase 1
GeneID:9588	peroxiredoxin 6
GeneID:11124	Fas associated factor 1
GeneID:1141	cholinergic receptor nicotinic beta 2 subunit
GeneID:4725	NADH:ubiquinone oxidoreductase subunit S5
GeneID:343413	Fc receptor like 6
GeneID:2166	fatty acid amide hydrolase
GeneID:6262	ryanodine receptor 2
GeneID:6518	solute carrier family 2 member 5
GeneID:7286	tuftelin 1
GeneID:25974	metabolism of cobalamin associated C
GeneID:56950	SET and MYND domain containing 2
GeneID:90231	KIAA2013
GeneID:3192	heterogeneous nuclear ribonucleoprotein U
GeneID:1401	C-reactive protein
GeneID:23673	syntaxin 12
GeneID:5498	protoporphyrinogen oxidase
GeneID:23418	crumbs cell polarity complex component 1
GeneID:81788	NUAK family kinase 2
GeneID:56956	LIM homeobox 9
GeneID:7805	lysosomal protein transmembrane 5
GeneID:10877	complement factor H related 4
GeneID:27005	ubiquitin specific peptidase 21
GeneID:57470	leucine rich repeat containing 47
GeneID:57216	VANGL planar cell polarity protein 2
GeneID:7809	barttin CLCNK type accessory beta subunit
GeneID:23169	solute carrier family 35 member D1
GeneID:58497	prune exopolyphosphatase 1
GeneID:64129	tubulointerstitial nephritis antigen like 1
GeneID:112770	glycosylated lysosomal membrane protein
GeneID:55170	protein arginine methyltransferase 6
GeneID:6275	S100 calcium binding protein A4
GeneID:9859	centrosomal protein 170
GeneID:128387	TatD DNase domain containing 3
GeneID:7812	cold shock domain containing E1
GeneID:9860	leucine rich repeats and immunoglobulin like domains 2
GeneID:10885	WD repeat domain 3
GeneID:64645	major facilitator superfamily domain containing 14A
GeneID:134	adenosine A1 receptor
GeneID:148870	coiled-coil domain containing 27
GeneID:9095	T-box transcription factor 19
GeneID:3208	hippocalcin
GeneID:6281	S100 calcium binding protein A10
GeneID:11146	glomulin, FKBP associated protein
GeneID:116362	retinol binding protein 7
GeneID:1163	CDC28 protein kinase regulatory subunit 1B
GeneID:11147	HERV-H LTR-associating 3
GeneID:149643	spermatogenesis associated 45
GeneID:1676	DNA fragmentation factor subunit alpha
GeneID:909	CD1a molecule
GeneID:2701	gap junction protein alpha 4
GeneID:910	CD1b molecule
GeneID:27022	forkhead box D3
GeneID:51086	TNNI3 interacting kinase
GeneID:911	CD1c molecule
GeneID:58512	DLG associated protein 3
GeneID:1939	eukaryotic translation initiation factor 2D
GeneID:2707	gap junction protein beta 3
GeneID:23443	solute carrier family 35 member A3
GeneID:163732	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4
GeneID:27285	tektin 2
GeneID:1942	ephrin A1
GeneID:84886	chromosome 1 open reading frame 198
GeneID:81559	tripartite motif containing 11
GeneID:163479	fibronectin type III domain containing 7
GeneID:64407	regulator of G protein signaling 18
GeneID:7832	BTG anti-proliferation factor 2
GeneID:54936	ADP-ribosylhydrolase like 2
GeneID:1945	ephrin A4
GeneID:51097	saccharopine dehydrogenase (putative)
GeneID:922	CD5 molecule like
GeneID:51611	diphthamide biosynthesis 5
GeneID:1952	cadherin EGF LAG seven-pass G-type receptor 2
GeneID:83872	hemicentin 1
GeneID:23456	ATP binding cassette subfamily B member 10
GeneID:10401	protein inhibitor of activated STAT 3
GeneID:10657	KH RNA binding domain containing, signal transduction associated 1
GeneID:81569	actin like 8
GeneID:9122	solute carrier family 16 member 4
GeneID:440738	microtubule associated protein 1 light chain 3 gamma
GeneID:126626	GA binding protein transcription factor subunit beta 2
GeneID:63906	G-patch domain containing 3
GeneID:51107	aph-1 homolog A, gamma-secretase subunit
GeneID:2980	guanylate cyclase activator 2A
GeneID:2981	guanylate cyclase activator 2B
GeneID:85414	solute carrier family 45 member 3
GeneID:56998	catenin beta interacting protein 1
GeneID:4520	metal regulatory transcription factor 1
GeneID:55210	ATPase family AAA domain containing 3A
GeneID:257194	neuronal growth regulator 1
GeneID:3756	potassium voltage-gated channel subfamily H member 1
GeneID:29101	SSU72 homolog, RNA polymerase II CTD phosphatase
GeneID:4014	loricrin
GeneID:338094	family with sequence similarity 151 member A
GeneID:81839	VANGL planar cell polarity protein 1
GeneID:26289	adenylate kinase 5
GeneID:178	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
GeneID:84146	zinc finger protein 644
GeneID:25778	dual serine/threonine and tyrosine protein kinase
GeneID:266675	bestrophin 4
GeneID:10420	testis associated actin remodelling kinase 2
GeneID:3765	potassium inwardly rectifying channel subfamily J member 9
GeneID:9909	DENN domain containing 4B
GeneID:26038	chromodomain helicase DNA binding protein 5
GeneID:54455	F-box protein 42
GeneID:55223	tripartite motif containing 62
GeneID:1465	cysteine and glycine rich protein 1
GeneID:79033	ERI1 exoribonuclease family member 3
GeneID:81849	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5
GeneID:57530	cingulin
GeneID:65979	phosphatase and actin regulator 4
GeneID:63931	mitochondrial ribosomal protein S14
GeneID:5052	peroxiredoxin 1
GeneID:2494	nuclear receptor subfamily 5 group A member 2
GeneID:9406	zinc finger RANBP2-type containing 2
GeneID:25790	cilia and flagella associated protein 45
GeneID:22977	aldo-keto reductase family 7 member A3
GeneID:29889	G protein nucleolar 2
GeneID:653505	peptidylprolyl isomerase A like 4A
GeneID:9410	small nuclear ribonucleoprotein U5 subunit 40
GeneID:163778	small proline rich protein 4
GeneID:55746	nucleoporin 133
GeneID:4803	nerve growth factor
GeneID:284611	family with sequence similarity 102 member B
GeneID:200132	Tctex1 domain containing 1
GeneID:49860	cornulin
GeneID:127428	transcription elongation factor A N-terminal and central domain containing 2
GeneID:965	CD58 molecule
GeneID:126661	coiled-coil domain containing 163
GeneID:9926	lysophosphatidylglycerol acyltransferase 1
GeneID:81607	nectin cell adhesion molecule 4
GeneID:127687	chromosome 1 open reading frame 122
GeneID:4808	nescient helix-loop-helix 2
GeneID:9928	kinesin family member 14
GeneID:10440	translocase of inner mitochondrial membrane 17A
GeneID:5322	phospholipase A2 group V
GeneID:9674	KIAA0040
GeneID:25802	leiomodin 1
GeneID:163786	SAS-6 centriolar assembly protein
GeneID:4811	nidogen 1
GeneID:54987	CXXC motif containing zinc binding protein
GeneID:56267	kynurenine aminotransferase 3
GeneID:460	astrotactin 1
GeneID:126669	Src homology 2 domain containing E
GeneID:1486	chitobiase
GeneID:338382	RAB7B, member RAS oncogene family
GeneID:63950	DMRT like family A2
GeneID:84432	prokineticin 1
GeneID:84944	maelstrom spermatogenic transposon silencer
GeneID:4817	nitrilase 1
GeneID:978	cytidine deaminase
GeneID:9682	lysine demethylase 4A
GeneID:79570	sodium/potassium transporting ATPase interacting 1
GeneID:3283	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1
GeneID:80851	SH3 binding domain protein 5 like
GeneID:725	complement component 4 binding protein beta
GeneID:149461	claudin 19
GeneID:55509	basic leucine zipper ATF-like transcription factor 3
GeneID:55765	innate immunity activator
GeneID:23254	kazrin, periplakin interacting protein
GeneID:10712	family with sequence similarity 189 member B
GeneID:339416	ankyrin repeat domain 45
GeneID:83416	Fc receptor like 5
GeneID:64216	transcription factor B2, mitochondrial
GeneID:83417	Fc receptor like 4
GeneID:149466	chromosome 1 open reading frame 210
GeneID:348378	shisa like 2A
GeneID:128218	transmembrane protein 125
GeneID:731	complement C8 alpha chain
GeneID:65243	ZFP69 zinc finger protein B
GeneID:2268	FGR proto-oncogene, Src family tyrosine kinase
GeneID:7133	TNF receptor superfamily member 1B
GeneID:10717	adaptor related protein complex 4 subunit beta 1
GeneID:27101	calcyclin binding protein
GeneID:991	cell division cycle 20
GeneID:200159	chromosome 1 open reading frame 100
GeneID:343263	myosin binding protein H like
GeneID:8416	annexin A9
GeneID:2787	G protein subunit gamma 5
GeneID:84451	mitogen-activated protein kinase kinase kinase 21
GeneID:83941	TM2 domain containing 1
GeneID:23013	spen family transcriptional repressor
GeneID:388581	C1q and TNF related 12
GeneID:4070	tumor associated calcium signal transducer 2
GeneID:8934	RAB29, member RAS oncogene family
GeneID:79590	mitochondrial ribosomal protein L24
GeneID:6375	X-C motif chemokine ligand 1
GeneID:7143	tenascin R
GeneID:9191	death effector domain containing
GeneID:9447	absent in melanoma 2
GeneID:84967	LSM10, U7 small nuclear RNA associated
GeneID:126695	keratinocyte differentiation factor 1
GeneID:11240	peptidyl arginine deiminase 2
GeneID:64744	small ArfGAP2
GeneID:6121	retinoid isomerohydrolase RPE65
GeneID:79594	mitochondrial E3 ubiquitin protein ligase 1
GeneID:149483	coiled-coil domain containing 17
GeneID:4332	myeloid cell nuclear differentiation antigen
GeneID:65260	cytochrome c oxidase assembly factor 7 (putative)
GeneID:8431	nuclear receptor subfamily 0 group B member 2
GeneID:10223	glycoprotein A33
GeneID:388591	ring finger protein 207
GeneID:440560	PRAME family member 11
GeneID:128240	NAD(P)HX epimerase
GeneID:149233	interleukin 23 receptor
GeneID:51441	YTH N6-methyladenosine RNA binding protein 2
GeneID:9202	zinc finger MYM-type containing 4
GeneID:26099	SUZ RNA binding domain containing 1
GeneID:440563	heterogeneous nuclear ribonucleoprotein C like 2
GeneID:388595	transmembrane protein 82
GeneID:1269	cannabinoid receptor 2
GeneID:6390	succinate dehydrogenase complex iron sulfur subunit B
GeneID:7159	tumor protein p53 binding protein 2
GeneID:29943	peptidyl arginine deiminase 1
GeneID:116983	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
GeneID:100129271	chromosome 1 open reading frame 68
GeneID:339448	chromosome 1 open reading frame 174
GeneID:57592	zinc finger protein 687
GeneID:3065	histone deacetylase 1
GeneID:126969	solute carrier family 44 member 3
GeneID:200186	CREB regulated transcription coactivator 2
GeneID:267002	piggyBac transposable element derived 2
GeneID:9722	nitric oxide synthase 1 adaptor protein
GeneID:51706	cytochrome b5 reductase 1
GeneID:65018	PTEN induced kinase 1
GeneID:339451	kelch like family member 17
GeneID:149499	leucine rich repeat containing 71
GeneID:375035	SFT2 domain containing 2
GeneID:3068	heparin binding growth factor
GeneID:2301	forkhead box E3
GeneID:9725	transmembrane protein 63A
GeneID:84734	family with sequence similarity 167 member B
GeneID:79871	RNA polymerase II associated protein 2
GeneID:148479	PHD finger protein 13
GeneID:93183	phosphatidylinositol glycan anchor biosynthesis class M
GeneID:339456	transmembrane protein 52
GeneID:60672	migration and invasion inhibitory protein
GeneID:6146	ribosomal protein L22
GeneID:7170	tropomyosin 3
GeneID:3075	complement factor H
GeneID:6403	selectin P
GeneID:9731	centrosomal protein 104
GeneID:79363	ciliogenesis and planar polarity effector 2
GeneID:93190	chromosome 1 open reading frame 158
GeneID:3080	complement factor H related 2
GeneID:79368	Fc receptor like 2
GeneID:284680	spermatogenesis associated 46
GeneID:8458	transcription termination factor 2
GeneID:10250	serine and arginine repetitive matrix 1
GeneID:2827	G protein-coupled receptor 3
GeneID:55052	mitochondrial ribosomal protein L20
GeneID:200205	iron-sulfur cluster assembly factor IBA57
GeneID:1806	dihydropyrimidine dehydrogenase
GeneID:4878	natriuretic peptide A
GeneID:79630	chromosome 1 open reading frame 54
GeneID:1296	collagen type VIII alpha 2 chain
GeneID:375056	MIA SH3 domain ER export factor 3
GeneID:116496	niban apoptosis regulator 1
GeneID:4881	natriuretic peptide receptor 1
GeneID:23057	nicotinamide nucleotide adenylyltransferase 2
GeneID:375057	stum, mechanosensory transduction mediator homolog
GeneID:1298	collagen type IX alpha 2 chain
GeneID:22802	chloride channel accessory 4
GeneID:25874	mitochondrial pyruvate carrier 2
GeneID:163859	SDE2 telomere maintenance homolog
GeneID:4116	mago homolog, exon junction complex subunit
GeneID:5396	paired related homeobox 1
GeneID:10772	serine and arginine rich splicing factor 10
GeneID:1301	collagen type XI alpha 1 chain
GeneID:55061	sushi domain containing 4
GeneID:5142	phosphodiesterase 4B
GeneID:79639	transmembrane protein 53
GeneID:284695	zinc finger protein 326
GeneID:27159	chitinase acidic
GeneID:57111	RAB25, member RAS oncogene family
GeneID:3608	interleukin enhancer binding factor 2
GeneID:23576	dimethylarginine dimethylaminohydrolase 1
